Time (days), Pressure (MPa), Temperature (K)
-3.512861164466407615e-01,1.287233576194359053e+01,3.110000000000000000e+02
-3.704163454460740468e-02,1.327415615500520651e+01,3.122336591015049407e+02
9.685407075418979161e-01,1.381756067454994508e+01,3.139020063106335101e+02
1.911274153247994434e+00,1.441054284887631454e+01,3.157225656177758992e+02
2.654986093749467813e+00,1.498579219162348863e+01,3.174886820209470670e+02
3.241575793299933395e+00,1.544591739218110504e+01,3.189013471103783672e+02
3.608194355518971719e+00,1.587068834004050899e+01,3.202054684415256816e+02
4.268107767513239281e+00,1.635057032887065276e+01,3.216787903370568529e+02
6.687790278158889379e+00,1.696273367075860961e+01,3.235582391937304010e+02
6.789315418465708518e+00,1.777553868140154236e+01,3.260536931737744908e+02
6.863767188024031185e+00,1.740079960019990324e+01,3.249031784507869816e+02
9.327443926135959629e+00,1.687048580972671630e+01,3.232750220765271933e+02
1.024399033168355189e+01,1.636703431909776185e+01,3.217293376754734027e+02
1.091123611492220036e+01,1.599858754833110019e+01,3.205981414494353885e+02
1.229705428011017077e+01,1.567393746735654858e+01,3.196014087446889675e+02
1.350689553543299226e+01,1.519765775007233444e+01,3.181391464547813257e+02
1.394683781009583967e+01,1.485841289881375360e+01,3.170976052447769007e+02
1.460675122209010723e+01,1.443505315011667278e+01,3.157978165426367241e+02
1.513468195168552555e+01,1.399431336963097650e+01,3.144446680937771248e+02
1.577993062119103129e+01,1.360151722384421902e+01,3.132387150146072372e+02
1.790631828206144505e+01,1.229003042338480078e+01,3.092122204517932573e+02
1.836625793284533259e+01,1.321500732887145091e+01,3.120520618282873784e+02
1.845624612539000609e+01,1.275405499004883758e+01,3.106368572792706004e+02
2.164582761669563737e+01,1.428130671506352201e+01,3.153257880139648250e+02
2.208576989135847768e+01,1.384569181574626384e+01,3.139883738493942928e+02
2.252571216602132509e+01,1.338640219364002348e+01,3.125782741324014751e+02
2.393352744494243112e+01,1.300751378696616634e+01,3.114150202522624227e+02
2.472542353933555503e+01,1.266540940056287745e+01,3.103646997676909223e+02
2.553198437621743366e+01,1.221984183346923203e+01,3.089967291669648262e+02
2.611857407576789925e+01,1.174931832329449399e+01,3.075521394427441351e+02
2.677848748776216681e+01,1.129959143235400099e+01,3.061713989881022826e+02
2.725509161864691166e+01,1.090055630079697124e+01,3.049462911280587605e+02
2.818211284025791130e+01,1.043318942032743202e+01,3.035113928108277150e+02
2.861158029885735132e+01,9.955609914341076561e+00,3.020451399415713354e+02
3.072463637564707639e+01,9.599231484736103326e+00,3.009509956401525415e+02
3.151310434841944996e+01,9.235526973355428382e+00,2.998343589824048649e+02
3.616392268056954151e+01,9.024961203608723892e+00,2.991878851279193441e+02
4.100328770186082750e+01,8.983840615577380007e+00,2.990616377085248700e+02
4.606262386048355495e+01,9.160881965032521279e+00,2.996051857112380503e+02
4.638035994774006099e+01,9.696518699714472334e+00,3.012496844580686002e+02
4.666754448814496925e+01,1.014797864225782043e+01,3.026357456851753795e+02
4.848230637112919794e+01,9.290118098845315586e+00,3.000019633150492950e+02
4.892224864579205246e+01,9.633262316210316811e+00,3.010554762630997629e+02
4.936219092045489276e+01,9.976406533575319813e+00,3.021089892111502309e+02
5.060869403199963301e+01,1.031825096223817972e+01,3.031585115798520178e+02
5.178187343110054996e+01,1.093045144094619481e+01,3.050380744530783659e+02
5.412391906974686151e+01,1.149486557031082157e+01,3.067709248502504806e+02
5.420155594174619296e+01,1.191673110813014702e+01,3.080661260628536979e+02
5.652696510782122630e+01,1.082401731465094485e+01,3.047113030126982380e+02
5.713450443949849955e+01,1.032604969445102050e+01,3.031824550559441036e+02
5.780908259398152893e+01,9.913670065552020461e+00,3.019163772479208774e+02
5.833701332357694014e+01,9.530319051000816444e+00,3.007394223786847078e+02
6.056379806763965234e+01,9.023761398652901278e+00,2.991842015162130224e+02
6.515611858085104302e+01,9.040558668034405443e+00,2.992357720801036294e+02
6.747314789407536750e+01,9.564373514996889369e+00,3.008439755576200128e+02
7.047942010427148318e+01,9.032050960165852516e+00,2.992096519243668240e+02
7.531878512556278338e+01,9.003691933937338021e+00,2.991225847385775296e+02
8.044097018056589832e+01,9.066183073876596055e+00,2.993144435015489080e+02
8.499751516814538377e+01,9.070335645574342465e+00,2.993271926251823629e+02
8.844372965300432554e+01,9.149740919014178075e+00,2.995709807453923759e+02
