
+===============================================================================================+
|   ____    _    _____ _____   ___ _   _    ____    ___     _______         ____    ___   ___   |
|  / ___|  / \  |  ___| ____| |_ _| \ | |  / ___|  / \ \   / / ____| __   _|___ \  / _ \ / _ \  |
|  \___ \ / _ \ | |_  |  _|    | ||  \| | | |     / _ \ \ / /|  _|   \ \ / / __) || | | | | | | |
|   ___) / ___ \|  _| | |___   | || |\  | | |___ / ___ \ V / | |___   \ V / / __/ | |_| | |_| | |
|  |____/_/   \_\_|   |_____| |___|_| \_|  \____/_/   \_\_/  |_____|   \_/ |_____(_)___(_)___/  |
|                                                                                               |
+===============================================================================================+
|                                                                                               |
| Mesh info:                                                                                    |
+---------------+------------+------------------------------------------+-----------------------+
| # of elements | # of nodes | Location                                 |                       |
+---------------+------------+------------------------------------------+-----------------------+
| 32839         | 7474       | ../../../../grids/cavern_regular_1200_3D |                       |
+---------------+------------+------------------------------------------+-----------------------+
|                                                                                               |
| Partition(s) info:                                                                            |
+-------------+---------------+------------+----------------------------------------------------+
| Partition # | # of elements | # of nodes |                                                    |
+-------------+---------------+------------+----------------------------------------------------+
|      1      |     32839     |    7474    |                                                    |
+-------------+---------------+------------+----------------------------------------------------+
|                                                                                               |
| Solver info:                                                                                  |
+----------+---------+----------+--------+------------------------------------------------------+
| KSP_type | PC_type |   rtol   | max_it |                                                      |
+----------+---------+----------+--------+------------------------------------------------------+
|    cg    |   asm   | 1.0e-10  |  100   |                                                      |
+----------+---------+----------+--------+------------------------------------------------------+
|                                                                                               |
| Constitutive model:                                                                           |
+---------------+--------------------------------------------------+----------------------------+
| Element type  | List of elements                                 |                            |
+---------------+--------------------------------------------------+----------------------------+
| elastic       | spring                                           |                            |
| non-elastic   | kelvin, creep_dislocation, creep_pressure, desai |                            |
| thermoelastic |                                                  |                            |
+---------------+--------------------------------------------------+----------------------------+
|                                                                                               |
| Output info:                                                                                  |
+--------------------+------------------+-------------------------+-----------------------------+
| Location           | Field name       | Label name              |                             |
+--------------------+------------------+-------------------------+-----------------------------+
| output/case_leaching_linear_power_generation(180)_365days_SA_SIC_regular1200/operation | u                | Displacement (m)       |
| output/case_leaching_linear_power_generation(180)_365days_SA_SIC_regular1200/operation | eps_tot          | Total strain (-)       |
| output/case_leaching_linear_power_generation(180)_365days_SA_SIC_regular1200/operation | eps_vp           | Viscoplastic strain (-)|
| output/case_leaching_linear_power_generation(180)_365days_SA_SIC_regular1200/operation | alpha            | Hardening parameter (-)|
| output/case_leaching_linear_power_generation(180)_365days_SA_SIC_regular1200/operation | Fvp              | Yield function (-)     |
| output/case_leaching_linear_power_generation(180)_365days_SA_SIC_regular1200/operation | p_elems          | Mean stress (Pa)       |
| output/case_leaching_linear_power_generation(180)_365days_SA_SIC_regular1200/operation | q_elems          | Von Mises stress (Pa)  |
| output/case_leaching_linear_power_generation(180)_365days_SA_SIC_regular1200/operation | sig              | Stress (Pa)            |
+--------------------+------------------+-------------------------+-----------------------------+
|                                                                                               |
+--------------+-----------+--------------------+------------+------------------+---------------+
| Step counter | dt (hour) | t / t_final (hour) | # of iters | Non-linear error |               |
+--------------+-----------+--------------------+------------+------------------+---------------+
|      1       |   2.000   |   2.000 / 9480.0   |     3      |    4.9808e-10    |               |
|      2       |   2.000   |   4.000 / 9480.0   |     4      |    3.0807e-10    |               |
|      3       |   2.000   |   6.000 / 9480.0   |     3      |    2.4983e-10    |               |
|      4       |   2.000   |   8.000 / 9480.0   |     4      |    3.0340e-10    |               |
|      5       |   2.000   |  10.000 / 9480.0   |     3      |    9.6799e-10    |               |
|      6       |   2.000   |  12.000 / 9480.0   |     4      |    3.0086e-10    |               |
|      7       |   2.000   |  14.000 / 9480.0   |     3      |    1.6985e-09    |               |
|      8       |   2.000   |  16.000 / 9480.0   |     4      |    3.1398e-10    |               |
|      9       |   2.000   |  18.000 / 9480.0   |     3      |    2.4577e-09    |               |
|      10      |   2.000   |  20.000 / 9480.0   |     4      |    3.5401e-10    |               |
|      11      |   2.000   |  22.000 / 9480.0   |     3      |    3.2513e-09    |               |
|      12      |   2.000   |  24.000 / 9480.0   |     4      |    4.1660e-10    |               |
|      13      |   2.000   |  26.000 / 9480.0   |     3      |    4.0757e-09    |               |
|      14      |   2.000   |  28.000 / 9480.0   |     4      |    4.8946e-10    |               |
|      15      |   2.000   |  30.000 / 9480.0   |     3      |    4.9192e-09    |               |
|      16      |   2.000   |  32.000 / 9480.0   |     4      |    5.6300e-10    |               |
|      17      |   2.000   |  34.000 / 9480.0   |     3      |    5.7635e-09    |               |
|      18      |   2.000   |  36.000 / 9480.0   |     4      |    6.3206e-10    |               |
|      19      |   2.000   |  38.000 / 9480.0   |     3      |    6.5930e-09    |               |
|      20      |   2.000   |  40.000 / 9480.0   |     4      |    6.9441e-10    |               |
|      21      |   2.000   |  42.000 / 9480.0   |     3      |    7.3972e-09    |               |
|      22      |   2.000   |  44.000 / 9480.0   |     4      |    7.4963e-10    |               |
|      23      |   2.000   |  46.000 / 9480.0   |     3      |    8.1704e-09    |               |
|      24      |   2.000   |  48.000 / 9480.0   |     4      |    7.9753e-10    |               |
|      25      |   2.000   |  50.000 / 9480.0   |     3      |    8.9096e-09    |               |
|      26      |   2.000   |  52.000 / 9480.0   |     4      |    8.3912e-10    |               |
|      27      |   2.000   |  54.000 / 9480.0   |     3      |    9.6163e-09    |               |
|      28      |   2.000   |  56.000 / 9480.0   |     4      |    8.7499e-10    |               |
|      29      |   2.000   |  58.000 / 9480.0   |     4      |    1.7301e-10    |               |
|      30      |   2.000   |  60.000 / 9480.0   |     4      |    9.0576e-10    |               |
|      31      |   2.000   |  62.000 / 9480.0   |     4      |    1.8250e-10    |               |
|      32      |   2.000   |  64.000 / 9480.0   |     4      |    9.3208e-10    |               |
|      33      |   2.000   |  66.000 / 9480.0   |     4      |    1.9108e-10    |               |
|      34      |   2.000   |  68.000 / 9480.0   |     4      |    9.5445e-10    |               |
|      35      |   2.000   |  70.000 / 9480.0   |     4      |    1.9886e-10    |               |
|      36      |   2.000   |  72.000 / 9480.0   |     4      |    9.7346e-10    |               |
|      37      |   2.000   |  74.000 / 9480.0   |     4      |    2.0594e-10    |               |
|      38      |   2.000   |  76.000 / 9480.0   |     4      |    9.8949e-10    |               |
|      39      |   2.000   |  78.000 / 9480.0   |     4      |    2.1241e-10    |               |
|      40      |   2.000   |  80.000 / 9480.0   |     4      |    1.0029e-09    |               |
|      41      |   2.000   |  82.000 / 9480.0   |     4      |    2.1832e-10    |               |
|      42      |   2.000   |  84.000 / 9480.0   |     4      |    1.0140e-09    |               |
|      43      |   2.000   |  86.000 / 9480.0   |     4      |    2.2376e-10    |               |
|      44      |   2.000   |  88.000 / 9480.0   |     4      |    1.0230e-09    |               |
|      45      |   2.000   |  90.000 / 9480.0   |     4      |    2.2876e-10    |               |
|      46      |   2.000   |  92.000 / 9480.0   |     4      |    1.0303e-09    |               |
|      47      |   2.000   |  94.000 / 9480.0   |     4      |    2.3339e-10    |               |
|      48      |   2.000   |  96.000 / 9480.0   |     4      |    1.0361e-09    |               |
